"13099738,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,""Kleon, Austin"",,""=""""0761169253"""""",""=""""9780761169253"""""",0,3.86,Workman Publishing Company,Paperback,160,2012,2012,,2017/10/19,to-read,to-read (#281),to-read,,,,0,,,0,,,,,";
"13589182,Mastery,Robert Greene,""Greene, Robert"",,""=""""0670024961"""""",""=""""9780670024964"""""",0,4.27,Viking,Hardcover,318,2012,2012,,2017/10/19,to-read,to-read (#280),to-read,,,,0,,,0,,,,,";
"1303,The 48 Laws of Power,Robert Greene,""Greene, Robert"",Joost Elffers,""=""""0140280197"""""",""=""""9780140280197"""""",0,4.18,Penguin (Business),Paperback,496,2000,1988,,2017/10/19,to-read,to-read (#279),to-read,,,,0,,,0,,,,,";
"78510,The Autobiography of Eleanor Roosevelt,Eleanor Roosevelt,""Roosevelt, Eleanor"",,""=""""030680476X"""""",""=""""9780306804762"""""",0,3.89,Da Capo Press,Paperback,454,1992,1960,,2017/10/19,to-read,to-read (#278),to-read,,,,0,,,0,,,,,";
"95420,Personal History,Katharine Graham,""Graham, Katharine"",,""=""""0375701044"""""",""=""""9780375701047"""""",0,4.13,Vintage,Paperback,642,1998,1997,,2017/10/19,to-read,to-read (#277),to-read,,,,0,,,0,,,,,";
"36529,Narrative of the Life of Frederick Douglass,Frederick Douglass,""Douglass, Frederick"",,""=""""1580495761"""""",""=""""9781580495769"""""",0,3.97,Ingram,Paperback,158,2004,1845,,2017/10/19,to-read,to-read (#276),to-read,,,,0,,,0,,,,,";
"827685,Up from Slavery,Booker T. Washington,""Washington, Booker T."",Ishmael Reed,""=""""0451527542"""""",""=""""9780451527547"""""",0,4.09,Signet Classics,Paperback,256,2000,1900,,2017/10/19,to-read,to-read (#275),to-read,,,,0,,,0,,,,,";
"92057,The Autobiography of Malcolm X,Malcolm X,""X, Malcolm"",Alex Haley,""="""""""""",""="""""""""",0,4.29,Ballantine Books,Paperback,466,,1965,,2017/10/19,to-read,to-read (#274),to-read,,,,0,,,0,,,,,";
"13166586,The Fish That Ate the Whale: The Life and Times of America's Banana King,Rich Cohen,""Cohen, Rich"",,""=""""0374299277"""""",""=""""9780374299279"""""",0,3.97,""Farrar, Straus and Giroux"",Hardcover,288,2012,2012,,2017/10/19,to-read,to-read (#273),to-read,,,,0,,,0,,,,,";
"6043946,The 50th Law,50 Cent,""Cent, 50"",Robert Greene,""=""""006177460X"""""",""=""""9780061774607"""""",0,4.13,HarperStudio,Hardcover,304,2009,2008,,2017/10/19,to-read,to-read (#272),to-read,,,,0,,,0,,,,,";
"9430007,Empire State of Mind: How Jay-Z Went From Street Corner to Corner Office,Zack O'Malley Greenburg,""Greenburg, Zack O'Malley"",,""=""""1591843812"""""",""=""""9781591843818"""""",0,3.63,Portfolio,Hardcover,256,2011,2011,,2017/10/19,to-read,to-read (#271),to-read,,,,0,,,0,,,,,";
"44891,The Kid Stays in the Picture,Robert  Evans,""Evans, Robert"",,""=""""0571219314"""""",""=""""9780571219315"""""",0,3.93,Faber & Faber,Paperback,462,2004,1994,,2017/10/19,to-read,to-read (#270),to-read,,,,0,,,0,,,,,";
"16121,""Titan: The Life of John D. Rockefeller, Sr."",Ron Chernow,""Chernow, Ron"",,""=""""1400077303"""""",""=""""9781400077304"""""",0,4.19,Vintage,Paperback,832,2004,1997,,2017/10/19,to-read,to-read (#269),to-read,,,,0,,,0,,,,,";
"1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,""Caro, Robert A."",,""=""""0394720245"""""",""=""""9780394720241"""""",0,4.48,Vintage,Paperback,1344,1975,1974,,2017/10/19,to-read,to-read (#268),to-read,,,,0,,,0,,,,,";
"564758,Lost at Sea,Bryan Lee O'Malley,""O'Malley, Bryan Lee"",,""=""""1932664165"""""",""=""""9781932664164"""""",2,3.74,Oni Press,Paperback,160,2012,2003,2017/10/16,2017/10/14,,,read,,,,1,,,0,,,,,";
"345220,Seductive Poison: A Jonestown Survivor's Story of Life and Death in the Peoples Temple,Deborah Layton,""Layton, Deborah"",,""=""""0385489846"""""",""=""""9780385489843"""""",0,4.05,Anchor,Paperback,368,1999,1997,,2017/10/15,to-read,to-read (#267),to-read,,,,0,,,0,,,,,";
"19528,The Mandarins,Simone de Beauvoir,""Beauvoir, Simone de"",,""=""""0007203942"""""",""=""""9780007203949"""""",0,4.12,Harper Perennial,Paperback,752,2005,1954,,2017/10/14,to-read,to-read (#266),to-read,,,,0,,,0,,,,,";
